Name,Primary Role,Manufacturer,Country
143,Medium Bomber,Avions Amiot ,France 
2MB1,Light Bomber,Mitsubishi Heavy Industries ,Japan 
2MR8,Reconnaissance Aircraft,Mitsubishi Heavy Industries ,Japan 
351/354,Medium Bomber,Avions Amiot ,France 
A-17,Ground Attack Aircraft,Northrop Corporation ,United States 
A-20 Havoc,Medium Bomber,Douglas Aircraft Company ,United States 
A-26 Invader,Medium Bomber,Douglas Aircraft Company ,United States 
A-29 Hudson,Medium Bomber,Lockheed Corporation ,United States 
A-31 Vengeance,Dive Bomber,Vultee Aircraft Corporation ,United States 
A-36A Mustang,Ground Attack Aircraft,North American Aviation ,United States 
A.W.38 Whitley,Medium Bomber,Armstrong Whitworth Aircraft ,United Kingdom 
A.W.41 Albemarle,Transport,Armstrong Whitworth Aircraft ,United Kingdom 
A2N,Fighter,Nakajima Aircraft Company ,Japan 
A5M,Fighter,Mitsubishi Heavy Industries ,Japan 
A6M Zero,Fighter,Mitsubishi Heavy Industries ,Japan 
A7M Reppu,Fighter,Mitsubishi Heavy Industries ,Japan 
Albacore,Torpedo Bomber,Fairey Aviation ,United Kingdom 
Anson,Other,Avro ,United Kingdom 
Ar 195,Torpedo Bomber,Arado Flugzeugwerke ,Germany 
Ar 196,Seaplane,Arado Flugzeugwerke ,Germany 
Ar 232,Transport,Arado Flugzeugwerke ,Germany 
Ar 234 Blitz,Medium Bomber,Arado Flugzeugwerke ,Germany 
Ar 68,Fighter,Arado Flugzeugwerke ,Germany 
Ar 95,Seaplane,Arado Flugzeugwerke ,Germany 
AS.10 Oxford,Other,Airspeed Limited ,United Kingdom 
AT-6 Texan,Other,North American Aviation ,United States 
B-10,Medium Bomber,Glenn L. Martin Company ,United States 
B-17 Flying Fortress,Heavy Bomber,The Boeing Company ,United States 
B-18 Bolo,Medium Bomber,Douglas Aircraft Company ,United States 
B-23 Dragon,Medium Bomber,Douglas Aircraft Company ,United States 
B-24 Liberator,Heavy Bomber,Consolidated Aircraft ,United States 
B-25 Mitchell,Medium Bomber,North American Aviation ,United States 
B-26 Marauder,Medium Bomber,Glenn L. Martin Company ,United States 
B-29 Superfortress,Heavy Bomber,The Boeing Company ,United States 
B-32 Dominator,Heavy Bomber,Consolidated Aircraft ,United States 
B-534,Biplane Fighter,Avia ,Czechoslovakia 
B1M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
B2M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
B4Y,Torpedo Bomber,Yokosuka Naval Air Technical Arsenal ,Japan 
B5M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
B5N,Torpedo Bomber,Nakajima Aircraft Company ,Japan 
B6N Tenzan,Torpedo Bomber,Nakajima Aircraft Company ,Japan 
B7A Ryusei,Dive Bomber,Aichi Kokuki KK ,Japan 
Ba 349 Natter,Prototype Aircraft,Bachem ,Germany 
Ba.65 Nibbio,Fighter,Societ� Italiana Ernesto Breda ,Italy 
Barracuda,Dive Bomber,Fairey Aviation ,United Kingdom 
Battle,Light Bomber,Fairey Aviation ,United Kingdom 
Be-4,Seaplane,Beriev OKB ,Russia 
Beaufighter,Heavy Fighter,Bristol Aeroplane Company ,United Kingdom 
Beaufort,Torpedo Bomber,Bristol Aeroplane Company ,United Kingdom 
Bf 108 Taifun,Other,Bayerische Flugzeugwerke AG ,Germany 
Bf 109,Fighter,Messerschmitt AG ,Germany 
Bf 110,Heavy Fighter,Messerschmitt AG ,Germany 
BF2C Goshawk,Biplane Fighter,Curtiss-Wright Corporation ,United States 
BI,Prototype Aircraft,"OKB-293, Khimki/Bilimbay, Russia ",Russia 
Blenheim,Medium Bomber,Bristol Aeroplane Company ,United Kingdom 
Bombay,Medium Bomber,Bristol Aeroplane Company ,United Kingdom 
Boomerang,Fighter,Commonwealth Aircraft Corporation ,Australia 
BR.20 Cicogna,Medium Bomber,Fiat ,Italy 
Bre.19,Light Bomber,Soci�©t�© des Ateliers d'Aviation Louis Br�©guet ,France 
BT-13 Valiant,Other,Vultee Aircraft Corporation ,United States 
BTD Destroyer,Torpedo Bomber,Douglas Aircraft Company ,United States 
BV 138 Seedrache,Seaplane,Blohm & Vo� ,Germany 
BV 141,Prototype Aircraft,Blohm & Vo� ,Germany 
BV 222 Wiking,Seaplane,Blohm & Vo� ,Germany 
B�¼ 181,Other,B�¼cker Flugzeugbau GmbH ,Germany 
C-0101,Transport, ,China 
C-45 Expeditor,Transport,Beech Aircraft Corporation ,United States 
C-46 Commando,Transport,Curtiss-Wright Corporation ,United States 
C-47 Skytrain,Transport,Douglas Aircraft Company ,United States 
C-54 Skymaster,Transport,Douglas Aircraft Company ,United States 
C-64 Norseman,Transport,"Noorduyn Aviation Ltd, Montreal, Canada ",Canada 
C-69 Constellation,Transport,Lockheed Corporation ,United States 
C-75 Stratoliner,Transport,The Boeing Company ,United States 
C.200 Saetta,Fighter,Aeronautica Macchi ,Italy 
C.202 Folgore,Fighter,Aeronautica Macchi ,Italy 
C.205 Veltro,Fighter,Aeronautica Macchi ,Italy 
