Property State,Property County,Property City,Property Zip,Originating Mortgagee Sponsor Originator,Originating Mortgagee Number,Sponsor Name,Sponsor_Number,Sponsor Originator,Current Servicer ID,Previous Servicer,Hecm Type,Rate Type,Interest Rate,Initial Principal Limit,Maximum Claim Amount,Endorsement Year,Endorsement Month
AK,ANCHORAGE,ANCHORAGE,99516,ALL ISLAND MTG & FUNDING CORP,Not Available,FINANCE OF AMERICA REVERSE LLC,21249,ALL ISLAND MTG & FUNDING CORP,1142500001,2124900009,Hecm Traditional,Fixed,3.43,301020,580000,2021,11
AK,FAIRBANKS NORTH STAR,NORTH POLE,99705,ALL ISLAND MTG & FUNDING CORP,Not Available,FINANCE OF AMERICA REVERSE LLC,21249,ALL ISLAND MTG & FUNDING CORP,1142500001,2124900009,Hecm Traditional,Adjustable,2.58,103350,195000,2021,11
AK,MATANUSKA-SUSITNA,WASILLA,99623,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,3.04,100040,205000,2021,11
AL,BALDWIN,FOLEY,36535,"SOUTH RIVER MORTGAGE, LLC",Not Available,OPEN MORTGAGE LLC,21548,"SOUTH RIVER MORTGAGE, LLC",1142500001,2154800002,Hecm Traditional,Adjustable,3.11,192585,347000,2021,11
AL,BALDWIN,SPANISH FORT,36527,"MUTUAL OF OMAHA MORTGAGE, INC.",31215,Not Available,Not Available,Not Available,1142500001,0,Hecm Traditional,Adjustable,2.04,243000,450000,2021,11
AL,CALHOUN,PIEDMONT,36272,MID AMERICA MORTGAGE INC.,38132,Not Available,Not Available,Not Available,1142500001,3813210282,Hecm Traditional,Adjustable,2.11,51300,90000,2021,11
AL,COLBERT,LEIGHTON,35646,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm for Refinance,Adjustable,2.07,96188,173000,2021,11
AL,ELMORE,WETUMPKA,36092,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,1142500001,2282300018,Hecm Traditional,Adjustable,2.28,94301,181000,2021,11
AL,ELMORE,WETUMPKA,36092,AMERICAN ADVISORS GROUP,22823,Not Available,Not Available,Not Available,2282300018,2282300003,Hecm Traditional,Adjustable,1.64,96526,167000,2021,11
AL,FRANKLIN,RUSSELLVILLE,35653,CULLMAN SAVINGS BANK,Not Available,LONGBRIDGE FINANCIAL LLC,31169,CULLMAN SAVINGS BANK,1142500001,3116900000,Hecm for Purchase,Fixed,3.43,187980,390000,2021,11
